Title	Original Title	Type	Release year	Rating	Watch date	Comments	
The Fault in Our Stars		Film	2014	2	18/09/2023		
A walk to Remember		Film	2002	3	18/09/2023		
Madagascar	Madagascar	Film	2005	4	19/09/2023	Funny	
Madagascar: Escape 2 Africa		Film	2008	4	19/09/2023	Funny	
Madagascar 3: Europe's Most Wanted		Film	2012	4	19/09/2023	Funny	
Puss in Boots		Film	2011	3	20/09/2023		
